recipe_name,time,url,special_diet,blurb,course_type,group_by_time
Shaved Fennel Salad,8,https://www.simplyrecipes.com/author/elise-bauer/,"Gluten-Free, Low Carb, Vegetarian","Simple and easy shaved fennel salad with olive oil, lemon juice, thyme, parsley, and Parmesan.",lunch,low
Easy Poached Eggs,9,https://www.simplyrecipes.com/author/elise-bauer/,"Gluten-Free, Low Carb, Paleo","Here is how to make a perfectly poached egg, every time! With creamy yolks and firm whites, poached eggs are a breakfast on their own. You can also serve them over greens, topped with Hollandaise, in a grain bowl, or dozens of other ways.",breakfast,low
Easy Poached Eggs,9,https://www.simplyrecipes.com/author/elise-bauer/,"Gluten-Free, Low Carb, Paleo","Here is how to make a perfectly poached egg, every time! With creamy yolks and firm whites, poached eggs are a breakfast on their own. You can also serve them over greens, topped with Hollandaise, in a grain bowl, or dozens of other ways.",breakfast,low
How to Make Fluffy Scrambled Eggs,9,https://www.simplyrecipes.com/author/summer-miller/,Vegetarian,"The secret to fluffy scrambled eggs? Whisk them A LOT, cook them low and slow, and don't let them dry out.",breakfast,low
Ham Salad,10,https://www.simplyrecipes.com/author/elise-bauer/,,"Leftover ham? Make a simple ham salad with diced ham, hard boiled eggs, sweet pickle relish, mayo, onion, celery, bell pepper, and mustard.",lunch,low
Three Bean Salad,10,https://www.simplyrecipes.com/author/elise-bauer/,"Gluten-Free, Vegan, Vegetarian","Who doesn't love an easy three bean salad, perfect for summer picnics and potlucks?! This classic American picnic salad has cannellini beans, kidney beans, garbanzo beans, celery, red onion, parsley, and a sweet and sour dressing.",lunch,low
Classic Coleslaw,10,https://www.simplyrecipes.com/author/elise-bauer/,"Gluten-Free, Low Carb, Vegetarian","Here's a classic coleslaw recipe made with thinly sliced cabbage, carrots and green onion, seasoned with mayonnaise, mustard, vinegar dressing. It's what you want for picnics, backyard BBQs, and summer potlucks!",lunch,low
Avocado Tuna Salad,10,https://www.simplyrecipes.com/author/elise-bauer/,,"Upgrade your lunch! This Avocado Tuna Salad uses creamy avocado instead of mayo for a fresh and easy twist on the classic. Red onion and celery add some crunch, while lemon juice gives it some zing.",lunch,low
Ham Salad,10,https://www.simplyrecipes.com/author/elise-bauer/,,"Leftover ham? Make a simple ham salad with diced ham, hard boiled eggs, sweet pickle relish, mayo, onion, celery, bell pepper, and mustard.",lunch,low
Three Bean Salad,10,https://www.simplyrecipes.com/author/elise-bauer/,"Gluten-Free, Vegan, Vegetarian","Who doesn't love an easy three bean salad, perfect for summer picnics and potlucks?! This classic American picnic salad has cannellini beans, kidney beans, garbanzo beans, celery, red onion, parsley, and a sweet and sour dressing.",lunch,low
Classic Coleslaw,10,https://www.simplyrecipes.com/author/elise-bauer/,"Gluten-Free, Low Carb, Vegetarian","Here's a classic coleslaw recipe made with thinly sliced cabbage, carrots and green onion, seasoned with mayonnaise, mustard, vinegar dressing. It's what you want for picnics, backyard BBQs, and summer potlucks!",lunch,low
Avocado Tuna Salad,10,https://www.simplyrecipes.com/author/elise-bauer/,,"Upgrade your lunch! This Avocado Tuna Salad uses creamy avocado instead of mayo for a fresh and easy twist on the classic. Red onion and celery add some crunch, while lemon juice gives it some zing.",lunch,low
Avocado Chicken Salad,10,https://www.simplyrecipes.com/author/elise-bauer/,,"Easy and Healthy! Avocado chicken salad with avocado, chopped cooked chicken, apple, celery, and onion. No Mayo!",lunch,low
Tarragon Chicken Salad,10,https://www.simplyrecipes.com/author/elise-bauer/,"Gluten-Free, Low Carb","Tarragon chicken salad with dried cranberries, celery, mayonnaise, and tarragon. Great for sandwiches!",lunch,low
Bay Shrimp and Avocado Salad,10,https://www.simplyrecipes.com/author/elise-bauer/,"Gluten-Free, Low Carb, Paleo","Easy shrimp and avocado salad! Pink shrimp and creamy avocado are a perfect match, especially with a crisp vinaigrette.",lunch,low
Basil Vinaigrette,10,https://www.simplyrecipes.com/author/elise-bauer/,,"Have extra garden basil? Make a quick basil vinaigrette for a salad dressing or sauce for chicken, fish, potatoes, or pasta.",lunch,low
Cold Pea Salad,10,https://www.simplyrecipes.com/author/elise-bauer/,Vegetarian,"This chilled pea salad is made with frozen peas, smoked almonds, water chestnuts, and a hint of curry. It's a great addition to your summer salad recipe collection.",lunch,low
"Endive Salad with Walnuts, Pears, and Gorgonzola",10,https://www.simplyrecipes.com/author/elise-bauer/,"Gluten-Free, Low Carb, Vegetarian","Crisp fall salad with sliced endive, walnuts, chopped pear, and blue cheese.",lunch,low
"Caprese Salad with Tomatoes, Basil, and Mozzarella",10,https://www.simplyrecipes.com/author/elise-bauer/,"Gluten-Free, Vegetarian","Italian caprese salad is a summer classic! Make it extra special with heirloom tomatoes, fresh basil, and fresh mozzarella. This is the BEST way to enjoy summer tomatoes.",lunch,low
No Mayo Coleslaw,10,https://www.simplyrecipes.com/author/elise-bauer/,"Gluten-Free, Vegan, Vegetarian","No mayo in this coleslaw! Cool and crunchy, this southwest coleslaw has thinly sliced cabbage with carrots, radishes and cilantro. Great as a summer side dish or piled high on tacos.",lunch,low
Cucumber Salad with Mint and Feta,10,https://www.simplyrecipes.com/author/elise-bauer/,"Gluten-Free, Low Carb, Vegetarian","Using delicate, thin skinned cucumbers, this cucumber salad recipe includes mint, feta cheese, red onions and sliced radishes with a simple oil and vinegar dressing.",lunch,low
"Farmers’ Market Salad with Peaches, Goat Cheese, and Basil",10,https://www.simplyrecipes.com/author/carrie-havranek/,"Gluten-Free, Vegetarian","Almost everything you need for this salad can be purchased at your local farmers' market at the height of summer: sweet peaches, creamy goat cheese, and aromatic basil the key components! Enjoy the season while it lasts!",lunch,low
Tomato Cucumber Feta Salad,10,https://www.simplyrecipes.com/author/elise-bauer/,,"Simple cherry and pear tomato Greek salad with cucumbers, feta cheese, shallots, mint, and oregano.",lunch,low
Provencal Endive Salad,10,https://www.simplyrecipes.com/author/elise-bauer/,"Gluten-Free, Low Carb, Paleo","Belgian endive salad with a vinaigrette with olive oil, sherry vinegar, garlic, and anchovies.",lunch,low
Strawberry Nectarine Fruit Salad,10,https://www.simplyrecipes.com/author/elise-bauer/,Gluten-Free,"Simple delicious fruit salad with fresh strawberries, white nectarines, honey, and mint",lunch,low
Honey Mustard Dressing,10,https://www.simplyrecipes.com/author/sally-vargas/,Vegetarian,"Honey Mustard Dressing is ready in 10 minutes or less and adds zip to any salad, but don't let lettuce have all the fun! Use it as a dipping sauce for chicken fingers, a marinade for pork, or toss it with freshly roasted vegetables!",lunch,low
Ham Salad,10,https://www.simplyrecipes.com/author/elise-bauer/,,"Leftover ham? Make a simple ham salad with diced ham, hard boiled eggs, sweet pickle relish, mayo, onion, celery, bell pepper, and mustard.",lunch,low
Avocado Tuna Salad,10,https://www.simplyrecipes.com/author/elise-bauer/,,"Upgrade your lunch! This Avocado Tuna Salad uses creamy avocado instead of mayo for a fresh and easy twist on the classic. Red onion and celery add some crunch, while lemon juice gives it some zing.",lunch,low
Avocado Chicken Salad,10,https://www.simplyrecipes.com/author/elise-bauer/,,"Easy and Healthy! Avocado chicken salad with avocado, chopped cooked chicken, apple, celery, and onion. No Mayo!",lunch,low
Quick and Easy Egg Salad Sandwich,10,https://www.simplyrecipes.com/author/elise-bauer/,,"Classic egg salad sandwich, with chopped hard boiled eggs, green onion, celery, mayonnaise and a dash of curry powder, served on toasted bread.",lunch,low
Tarragon Chicken Salad,10,https://www.simplyrecipes.com/author/elise-bauer/,"Gluten-Free, Low Carb","Tarragon chicken salad with dried cranberries, celery, mayonnaise, and tarragon. Great for sandwiches!",lunch,low
Ham Salad,10,https://www.simplyrecipes.com/author/elise-bauer/,,"Leftover ham? Make a simple ham salad with diced ham, hard boiled eggs, sweet pickle relish, mayo, onion, celery, bell pepper, and mustard.",lunch,low
Avocado Tuna Salad,10,https://www.simplyrecipes.com/author/elise-bauer/,,"Upgrade your lunch! This Avocado Tuna Salad uses creamy avocado instead of mayo for a fresh and easy twist on the classic. Red onion and celery add some crunch, while lemon juice gives it some zing.",lunch,low
Avocado Chicken Salad,10,https://www.simplyrecipes.com/author/elise-bauer/,,"Easy and Healthy! Avocado chicken salad with avocado, chopped cooked chicken, apple, celery, and onion. No Mayo!",lunch,low
Quick and Easy Egg Salad Sandwich,10,https://www.simplyrecipes.com/author/elise-bauer/,,"Classic egg salad sandwich, with chopped hard boiled eggs, green onion, celery, mayonnaise and a dash of curry powder, served on toasted bread.",lunch,low
Tarragon Chicken Salad,10,https://www.simplyrecipes.com/author/elise-bauer/,"Gluten-Free, Low Carb","Tarragon chicken salad with dried cranberries, celery, mayonnaise, and tarragon. Great for sandwiches!",lunch,low
Hot Turkey Sandwich,10,https://www.simplyrecipes.com/author/elise-bauer/,,"Hot turkey sandwich. The easiest way to prepare turkey leftovers, as an open-faced sandwich, topped with leftover turkey and gravy.",lunch,low
Deviled Ham with Pickled Jalapeños,10,https://www.simplyrecipes.com/author/elise-bauer/,,"Spicy deviled jam, made with ham, celery, green onions, and pickled jalapeños.",lunch,low
Avocado Lettuce Tomato Sandwich (ALT),10,https://www.simplyrecipes.com/author/elise-bauer/,Vegetarian,"Sliced avocado and tomato, lettuce with toasted whole wheat bread.",lunch,low
Cheese Tacos,10,https://www.simplyrecipes.com/author/elise-bauer/,Gluten-Free,"Simple and easy cheese tacos recipe, made with corn tortillas, fried in a little butter, folded over grated cheddar or Monterey Jack cheese.  Also known as quesadillas.",dinner,low
Broiled Grapefruit,10,https://www.simplyrecipes.com/author/elise-bauer/,"Gluten-Free, Vegetarian","Grapefruit halves, sprinkled with brown sugar and broiled.",breakfast,low
Bloody Mary Smoothie,10,https://www.simplyrecipes.com/author/tess-masters/,"Gluten-Free, Vegan, Vegetarian","Bloody Mary smoothie! A blend of tomatoes, celery, avocado, and spices. Salt rim and celery stick optional",breakfast,low
Matzo Brei,10,https://www.simplyrecipes.com/author/hank-shaw/,,"A classic Jewish breakfast or light meal of matzo, egg and either savory toppings or sweet.",breakfast,low
Cheese Tacos,10,https://www.simplyrecipes.com/author/elise-bauer/,Gluten-Free,"Simple and easy cheese tacos recipe, made with corn tortillas, fried in a little butter, folded over grated cheddar or Monterey Jack cheese.  Also known as quesadillas.",breakfast,low
Kimchi Deviled Eggs,10,https://www.simplyrecipes.com/author/sabrina-modelle/,"Dairy-Free, Gluten-Free","You can never have too many recipes for deviled eggs, and here's one with a spicy twist. Pick up some fresh kimchi and a jar of Korean gochujang at the store, and you'll be set!",breakfast,low
Apple Pie Smoothie,10,https://www.simplyrecipes.com/author/elise-bauer/,"Gluten-Free, Vegan, Vegetarian","Tastes like apple pie! Smoothie with applesauce, almond milk, cashews, dates, and vanilla.",breakfast,low
"Papaya, Prosciutto, and Lime",10,https://www.simplyrecipes.com/author/elise-bauer/,Gluten-Free,Slices of fresh papaya served with thinly sliced prosciutto and fresh squeezed lime.,breakfast,low
Strawberry Nectarine Fruit Salad,10,https://www.simplyrecipes.com/author/elise-bauer/,Gluten-Free,"Simple delicious fruit salad with fresh strawberries, white nectarines, honey, and mint",breakfast,low
"Gruyere, Apple, and Fig Jam Panini",11,https://www.simplyrecipes.com/author/elise-bauer/,Vegetarian,"BEST Grilled Cheese Panini! With nutty gruyere cheese, tart green Granny Smith apples, and sweet fig jam.",lunch,low
How to Make Perfect Hard Boiled Eggs,12,https://www.simplyrecipes.com/author/elise-bauer/,"Gluten-Free, Low Carb, Paleo",Hard boiled eggs recipe. Tips for how to boil eggs so they come out perfectly every time.,breakfast,low
How to Make Perfect Hard Boiled Eggs,12,https://www.simplyrecipes.com/author/elise-bauer/,"Gluten-Free, Low Carb, Paleo",Hard boiled eggs recipe. Tips for how to boil eggs so they come out perfectly every time.,breakfast,low
Classic King Crab,13,https://www.simplyrecipes.com/author/hank-shaw/,"Gluten-Free, Low Carb",Alaskan King Crab steamed briefly and served with melted butter.,dinner,low
Waldorf Salad,15,https://www.simplyrecipes.com/author/elise-bauer/,"Gluten-Free, Vegetarian","First presented at the Waldorf Astoria Hotel in 1893, this all-American Waldorf salad recipe includes chopped apples, celery, grapes, and toasted walnuts in a mayonnaise dressing.",lunch,low
Easy Greek Salad,15,https://www.simplyrecipes.com/author/elise-bauer/,"Gluten-Free, Vegetarian","This easy Greek Salad is made with plum tomatoes, cucumbers, red onion, bell pepper, kalamata olives, and crumbled feta cheese. Tossed with a lemon and red wine vinegar vinaigrette dressing, it's ready for a summer picnic!",lunch,low
Green Goddess Dressing,15,https://www.simplyrecipes.com/author/elise-bauer/,,"A classic salad dressing made with parsley, tarragon, chives and sour cream for a tangy finish.",lunch,low
Waldorf Salad,15,https://www.simplyrecipes.com/author/elise-bauer/,"Gluten-Free, Vegetarian","First presented at the Waldorf Astoria Hotel in 1893, this all-American Waldorf salad recipe includes chopped apples, celery, grapes, and toasted walnuts in a mayonnaise dressing.",lunch,low
Easy Greek Salad,15,https://www.simplyrecipes.com/author/elise-bauer/,"Gluten-Free, Vegetarian","This easy Greek Salad is made with plum tomatoes, cucumbers, red onion, bell pepper, kalamata olives, and crumbled feta cheese. Tossed with a lemon and red wine vinegar vinaigrette dressing, it's ready for a summer picnic!",lunch,low
Green Goddess Dressing,15,https://www.simplyrecipes.com/author/elise-bauer/,,"A classic salad dressing made with parsley, tarragon, chives and sour cream for a tangy finish.",lunch,low
White Bean and Tuna Salad,15,https://www.simplyrecipes.com/author/elise-bauer/,Gluten-Free,"Simple tuna and white bean salad, a classic combination and so easy to make!",lunch,low
Texas Caviar,15,https://www.simplyrecipes.com/author/elise-bauer/,"Gluten-Free, Vegan, Vegetarian","We LOVE this Texas Caviar! It's loaded with black-eyed peas, peppers, and tomatoes. Great with chips!",lunch,low
Persimmon Pomegranate Fruit Salad,15,https://www.simplyrecipes.com/author/elise-bauer/,"Gluten-Free, Vegetarian","Persimmon salad with fuyu persimmons, pomegranate seeds, chopped apple, lemon, honey, and mint.",lunch,low
Classic Carrot Salad,15,https://www.simplyrecipes.com/author/elise-bauer/,"Gluten-Free, Vegetarian","Try this traditional grated carrot salad with carrots, raisins, chopped apple and mayonnaise! It's one of the easiest salads to prepare, as well as being kid-friendly and good for you. Fantastic for Mother's Day, Easter, or picnic outdoors.",lunch,low
Jicama Salad,15,https://www.simplyrecipes.com/author/elise-bauer/,Vegetarian,"Crunchy, refreshing Jicama Salad with julienned jicama, bell peppers, red onion, cucumber, orange, and lime juice. Perfect accompaniment to Mexican food dishes.",lunch,low
Moroccan Grated Carrot and Beet Salad,15,https://www.simplyrecipes.com/author/elise-bauer/,Vegetarian,"Moroccan shredded carrot and fresh beet salad with raisins, cumin, cinnamon, and paprika, and an honey lemon dressing.",lunch,low
Asian Coleslaw,15,https://www.simplyrecipes.com/author/elise-bauer/,Vegan,"Quick and delicious, this Asian coleslaw is great with burgers, fish, or any Asian-inspired dish. A creamy dressing with peanut butter and rice vinegar brings it all together.",lunch,low
Berries and Banana Fruit Salad,15,https://www.simplyrecipes.com/author/elise-bauer/,"Gluten-Free, Paleo","Get out your red, white, and blue with this simple fruit salad of strawberries, raspberries, blueberries, apple, and bananas, tossed with honey and lemon juice.",lunch,low
Crab Mango and Avocado Salad,15,https://www.simplyrecipes.com/author/elise-bauer/,"Gluten-Free, Low Carb, Paleo","Crab mango salad with avocado! Dungeness crab lump meat gently folded with cilantro, lime, avocado and mango. Served with a citrus mango sauce.",lunch,low
"Tomato, Onion, Avocado Salad",15,https://www.simplyrecipes.com/author/elise-bauer/,"Gluten-Free, Paleo, Vegan, Vegetarian","Fresh tomato, red onion, and avocado salad, seasoned Italian style with oregano, fresh parsley, garlic, olive oil, wine vinegar, salt and pepper.",lunch,low
Jeweled Carrot Salad with Apple and Pomegranate,15,https://www.simplyrecipes.com/author/elise-bauer/,Gluten-Free,"Shredded carrot salad with apples, pomegranate seeds, raisins, craisins, mayo, lime juice, and honey.",lunch,low
Mexican Fruit Cocktail,15,https://www.simplyrecipes.com/author/elise-bauer/,"Gluten-Free, Paleo, Vegan, Vegetarian","Delightful Mexican fruit salad with pineapple, orange, apple, onion, jalapeño, and lime juice",lunch,low
Curry Turkey Salad,15,https://www.simplyrecipes.com/author/elise-bauer/,Gluten-Free,"Curried turkey salad with apple, raisins or dried cranberries, green onions, celery, cilantro, honey, ground ginger, curry, mayo and yogurt.",lunch,low
Tarragon Egg Salad,15,https://www.simplyrecipes.com/author/elise-bauer/,,"Chilled egg salad with fresh tarragon, fennel, red bell pepper, and green onions.",lunch,low
Crab Salad with Pear and Hazelnuts,15,https://www.simplyrecipes.com/author/elise-bauer/,"Gluten-Free, Low Carb, Paleo","Delicious crab salad! with hazelnuts and chopped pear, served on a bed of butter lettuce.",lunch,low
Orange Blossom Carrot Salad,15,https://www.simplyrecipes.com/author/elise-bauer/,Vegetarian,"Middle Eastern carrot salad! Shredded carrots and golden raisins dressed with honey, lemon and orange blossom water.",lunch,low
Classic Wedge Salad with Blue Cheese Dressing,15,https://www.simplyrecipes.com/author/sheryl-julian/,Gluten-Free,"Wedge salad with blue cheese dressing is such a classic! Made with iceberg lettuce, bacon, cherry tomatoes, and homemade blue cheese dressing. Takes 15 minutes.",lunch,low
"Arugula Salad with Tomatoes, Corn, and Burrata",15,https://www.simplyrecipes.com/author/sally-vargas/,"Low Carb, Vegetarian","The best of summer comes together in this simple and delicious salad: ripe tomatoes, sweet corn, and basil! Burrata, a fresh Italian cheese similar to mozzarella, makes it creamy and decadent.",lunch,low
Chipotle Turkey Salad,15,https://www.simplyrecipes.com/author/elise-bauer/,,Give your turkey leftovers a gentle smokey kick with a turkey salad seasoned with chipotle powder and jalapeños.,lunch,low
Curried Egg Salad with Mango Chutney,15,https://www.simplyrecipes.com/author/elise-bauer/,Gluten-Free,"Simple egg salad, spiced up with curry and mango chutney. Great on toast!",lunch,low
"Fennel, Radicchio and Endive Salad",15,https://www.simplyrecipes.com/author/hank-shaw/,"Gluten-Free, Vegetarian","A crunchy salad of radicchio, Belgian endive and sliced fennel served with a fennel dressing and grated parmesan cheese.",lunch,low
Blueberry Peach Fruit Salad with Thyme,15,https://www.simplyrecipes.com/author/garrett-mccord/,"Gluten-Free, Vegetarian","Blueberry, peach, nectarine fruit salad seasoned with fresh thyme, ginger, and lemon juice.",lunch,low
"Watermelon Salad with Cotija, Jicama, and Lime",15,https://www.simplyrecipes.com/author/elise-bauer/,Vegetarian,"South of the border spin on watermelon salad! With fresh watermelon, jicama, cilantro, and cotija cheese.",lunch,low
Un-Cobb Salad,15,https://www.simplyrecipes.com/author/elise-bauer/,,"Composed salad with grilled chicken breast, avocado, apple, mango, and dried cranberries.",lunch,low
Melon Salad with Chili and Mint,15,https://www.simplyrecipes.com/author/elise-bauer/,"Gluten-Free, Paleo, Vegan, Vegetarian","Summery Melon Salad with fresh cantaloupe and honeydew melon, diced, and tossed with lemon or lime, mint, and serrano chili.",lunch,low
Grape and Walnut Side Salad with Blue Cheese Dressing,15,https://www.simplyrecipes.com/author/sally-vargas/,Vegetarian,"This quick and easy mixed green salad with grapes, walnuts, and blue cheese dressing is a flavor explosion without any fuss. Mix and match colors and textures for a salad that looks as good as it tastes!",lunch,low
How to Grill the Best Burgers,15,https://www.simplyrecipes.com/author/summer-miller/,,"We tested all sorts of methods for mixing, shaping, and grilling backyard burgers, and even talked with grilling expert Steven Raichlen! Here is our take on the perfect grilled burger.",lunch,low
Reuben Sandwich,15,https://www.simplyrecipes.com/author/elise-bauer/,,"Classic reuben sandwich with corned beef, dark rye bread, Swiss cheese, sauerkraut, with Russian dressing - grilled.",lunch,low
How to Grill the Best Burgers,15,https://www.simplyrecipes.com/author/summer-miller/,,"We tested all sorts of methods for mixing, shaping, and grilling backyard burgers, and even talked with grilling expert Steven Raichlen! Here is our take on the perfect grilled burger.",lunch,low
Reuben Sandwich,15,https://www.simplyrecipes.com/author/elise-bauer/,,"Classic reuben sandwich with corned beef, dark rye bread, Swiss cheese, sauerkraut, with Russian dressing - grilled.",lunch,low
"Greens, Eggs, and Ham, Grilled Cheese Sandwich",15,https://www.simplyrecipes.com/author/elise-bauer/,,"Grilled cheese sandwich with slices of ham, a fried egg, baby spinach, and gruyere cheese on rye bread.",lunch,low
Curry Turkey Salad,15,https://www.simplyrecipes.com/author/elise-bauer/,Gluten-Free,"Curried turkey salad with apple, raisins or dried cranberries, green onions, celery, cilantro, honey, ground ginger, curry, mayo and yogurt.",lunch,low
Tarragon Egg Salad,15,https://www.simplyrecipes.com/author/elise-bauer/,,"Chilled egg salad with fresh tarragon, fennel, red bell pepper, and green onions.",lunch,low
Grilled Cheese Sandwich with Sauerkraut on Rye,15,https://www.simplyrecipes.com/author/elise-bauer/,Vegetarian,Grilled cheese sandwich with Gruyere Swiss cheese and sauerkraut on rye bread. Great combination!,lunch,low
Chipotle Turkey Salad,15,https://www.simplyrecipes.com/author/elise-bauer/,,Give your turkey leftovers a gentle smokey kick with a turkey salad seasoned with chipotle powder and jalapeños.,lunch,low
BLT with Arugula,15,https://www.simplyrecipes.com/author/elise-bauer/,,A jazzed up version of the classic BLT with baby arugula stepping in for the lettuce.,lunch,low
Turkey Grilled Cheese Sandwich with Pickled Onions,15,https://www.simplyrecipes.com/author/elise-bauer/,,"Two slices of light rye bread, sauteed in butter, with slices of jack cheese, leftover turkey, arugula and pickled onions.",lunch,low
Poached Salmon,15,https://www.simplyrecipes.com/author/elise-bauer/,"Gluten-Free, Low Carb, Paleo","Poach delicious salmon steaks or fillets in only 15 minutes! Salmon poached in white wine, seasoned with fresh dill.",dinner,low
Shrimp Scampi,15,https://www.simplyrecipes.com/author/elise-bauer/,"Gluten-Free, Low Carb, Paleo","Quick and easy shrimp scampi. Shrimp sautéed in easy scampi sauce with garlic, butter, olive oil, and white wine, tossed with red pepper flakes and parsley.",dinner,low
Poached Salmon,15,https://www.simplyrecipes.com/author/elise-bauer/,"Gluten-Free, Low Carb, Paleo","Poach delicious salmon steaks or fillets in only 15 minutes! Salmon poached in white wine, seasoned with fresh dill.",dinner,low
Shrimp Scampi,15,https://www.simplyrecipes.com/author/elise-bauer/,"Gluten-Free, Low Carb, Paleo","Quick and easy shrimp scampi. Shrimp sautéed in easy scampi sauce with garlic, butter, olive oil, and white wine, tossed with red pepper flakes and parsley.",dinner,low
